Регистрационный номер,"2017, Среднесписочная численность работников","2017, Дебиторская задолженность, RUB","2017, Денежные средства и денежные эквиваленты, RUB","2017, Капитал и резервы, RUB","2017, Заёмные средства (краткосрочные), RUB","2017, Кредиторская задолженность, RUB","2017, Пассивы всего, RUB","2017, Выручка, RUB","2017, Себестоимость продаж, RUB","2017, Валовая прибыль (убыток), RUB","2017, Коммерческие расходы, RUB","2017, Управленческие расходы, RUB","2017, Прибыль (убыток) от продажи, RUB","2017, Доходы от участия в других организациях, RUB","2017, Проценты к получению, RUB","2017, Проценты к уплате, RUB","2017, Прочие доходы, RUB","2017, Прочие расходы, RUB","2017, Прибыль (убыток) до налогообложения , RUB","2017, Текущий налог на прибыль, RUB","2017, Чистая прибыль (убыток), RUB","2017, Прибыль от приносящей доход деятельности, RUB","2017, Всего поступило средств, RUB","2017, Расходы на целевые мероприятия, RUB","2017, Расходы на содержание аппарата управления, RUB","2017, Приобретение основных средств, инвентаря и иного имущества, RUB","2017, Всего использовано средств, RUB","2017, Остаток средств на конец отчетного года, RUB"
1157700001140,,,294000.0,264000.0,,30000.0,294000.0,,,,,,,,,,27000.0,27000.0,,,,,24597000.0,25308000.0,644000.0,,26152000.0,264000.0
1167700056347,0 - 5,94000.0,19000.0,133000.0,,38000.0,171000.0,,,,,,,,,,,,,,,,1533000.0,1242000.0,213000.0,,1458000.0,132000.0
1147799011612,11 - 15,82000.0,180424000.0,180424000.0,,61000.0,180506000.0,,,,,,,,,,,,,,,,754602000.0,625374000.0,16211000.0,,641697000.0,180424000.0
1157700001689,,3000.0,,-2000.0,3000.0,2000.0,3000.0,,,,,,,,,,,,,,,,,,,,,
1097799042857,,472000.0,61000.0,74000.0,,460000.0,534000.0,,,,,,,,,,,20000.0,-20000.0,,-20000.0,,,,,,,
1027729004269,0 - 5,481000.0,2610000.0,3094000.0,,,3094000.0,,,,,,,,,,,,,,,,5000000.0,2888000.0,1497000.0,,4516000.0,3094000.0
1117799005235,,2000.0,779000.0,781000.0,,,781000.0,,,,,,,,,,,,,,,,729000.0,436000.0,39000.0,,475000.0,781000.0
1037739325557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037746023061,0 - 5,1646000.0,22000.0,45000.0,1000.0,1362000.0,1668000.0,,,,,,,,,,16000.0,69000.0,-53000.0,1000.0,-54000.0,,,,,,,
1097799012805,,,,,,,,,12000.0,,,,,,,,,,,,-12000.0,,,,,,,
1057748151845,,4000.0,9000.0,19000.0,,8000.0,26000.0,,,,,,,,,,,,,,,,,,,,,
1177700021950,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037739896226,11 - 15,1209000.0,4288000.0,676000.0,,9067000.0,9780000.0,5048000.0,4648000.0,400000.0,1313000.0,,-913000.0,,,,,9306000.0,-10219000.0,55000.0,-10275000.0,,27002000.0,8951000.0,6138000.0,,29355000.0,750000.0
1097799011122,,1664000.0,730000.0,2311000.0,,118000.0,2429000.0,,,,,,,,,,,,,,,,52593000.0,44595000.0,6096000.0,,50691000.0,2311000.0
1117799020283,0 - 5,12000.0,170000.0,182000.0,,,182000.0,,,,,,,,,,,,,,,,4280000.0,,4122000.0,,4122000.0,182000.0
1057748415977,,40045000.0,2102000.0,40741000.0,,518000.0,42147000.0,,,,,,,,,,,,,,,1431000.0,90555000.0,92465000.0,7330000.0,,102295000.0,40741000.0
1087799028877,,5000.0,,,,23000.0,5000.0,,,,,,,,,,,,,,,,,,,,,
1037739343025,,,16000.0,16000.0,,,16000.0,,,,,,,,,,,,,,,,,,,,,
1177700010927,,328000.0,9000.0,643000.0,,230000.0,1012000.0,,,,,,,,,,,,,,,,4871000.0,1094000.0,3134000.0,554000.0,4782000.0,89000.0
1157700015186,,1000.0,,-3000.0,,4000.0,1000.0,,,,,,,,,,,,,,,,,,,,,
1127799000262,0 - 5,17000.0,120000.0,137000.0,,2180000.0,2317000.0,,,,,,,,,,,,,,,,1661000.0,1178000.0,496000.0,,1674000.0,137000.0
1057748314260,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087799027007,0 - 5,977000.0,23097000.0,28053000.0,,320000.0,28494000.0,,,,,,,,,,,,,,,,67000000.0,69268000.0,5290000.0,400000.0,74958000.0,23633000.0
1047796688642,0 - 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037707022088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137799022481,0 - 5,33000.0,16440000.0,,,,16473000.0,,,,,,,,,,,,,,,,366217000.0,363160000.0,802000.0,,363962000.0,16473000.0
1127799012307,,984000.0,1023000.0,2007000.0,,,2007000.0,,,,,,,,,,,,,,,,334000.0,67000.0,10000.0,,77000.0,1023000.0
1107799031801,51 - 100,24512000.0,54591000.0,76528000.0,,2041000.0,101357000.0,65260000.0,46582000.0,18678000.0,,24287000.0,-5609000.0,,,,2000.0,46000.0,-5653000.0,,-4530000.0,11000.0,253031000.0,14613000.0,236010000.0,,256576000.0,61270000.0
1132300004209,0 - 5,936000.0,3354000.0,4681000.0,,53000.0,4750000.0,,,,,,,,11000.0,,10000.0,9000.0,12000.0,,12000.0,12000.0,18169000.0,14247000.0,1398000.0,165000.0,15809000.0,4430000.0
1147799018146,,,10000.0,10000.0,,,10000.0,,,,,,,,,,,,,,,,,,,,,
1117799010230,0 - 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117799009767,,687000.0,55000.0,1561000.0,,,1561000.0,,,,,,,,,,,,,,,,,,,,,
1117799021075,,,,,,,,,,,,,,,,,,,,,,,,,127000.0,,127000.0,
1067746367710,,3000.0,,3000.0,,,3000.0,,,,,,,,,,,,,,,,,,,,,3000.0
1167700068370,,34036000.0,57410000.0,91837000.0,,367000.0,92204000.0,,,,,,,,,,,,,,,,154925000.0,44734000.0,16109000.0,557000.0,63645000.0,91280000.0
1177700021070,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147700000403,,3000.0,1046000.0,-75000.0,,1124000.0,1049000.0,,,,,,,,,,,,,,,,2152000.0,2071000.0,31000.0,,2112000.0,-75000.0
1126100002357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147799016716,,18000.0,11000.0,400000.0,,29000.0,429000.0,,,,,,,,,,,,,,,,,,14000.0,,14000.0,
1037739709260,,1000.0,713000.0,714000.0,,,714000.0,,,,,,,,,,,,,,,,709000.0,397000.0,10000.0,,435000.0,714000.0
1097799002730,,38000.0,41000.0,,1725000.0,232000.0,79000.0,,,,,,,,,,,,,,,,1308000.0,,810000.0,,810000.0,-1878000.0
1027739111663,,,28000.0,,,,28000.0,,,,,,,,,,,,,,,,,,,,,
1027746000446,11 - 15,12926000.0,501000.0,47863000.0,,6850000.0,60109000.0,,,,,,,,,,4409000.0,,4409000.0,882000.0,3527000.0,3527000.0,191006000.0,151575000.0,52569000.0,2893000.0,207475000.0,35194000.0
1147799019312,,,256000.0,-62000.0,,,270000.0,,,,,,,,,,,3000.0,-3000.0,,-3000.0,,,,,,,
1147799003770,51 - 100,2863000.0,1319000.0,92673000.0,,1653000.0,95807000.0,,,,,,,,5395000.0,,771000.0,2061000.0,4105000.0,,3970000.0,3970000.0,128983000.0,76696000.0,16039000.0,2777000.0,95513000.0,83736000.0
1027700465385,,,2105000.0,,,2105000.0,2105000.0,,,,,,,,,,,,,,,,,,,,,
1027739678724,0 - 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157700019916,0 - 5,35000.0,5583000.0,5450000.0,,,5628000.0,,,,,,,,,,,,,,,,16977000.0,17532000.0,2705000.0,,20640000.0,5450000.0
1057746021805,,4000.0,51000.0,116000.0,,,116000.0,,,,,,,,,,,,,,,,,,,,,
1087799033630,0 - 5,4699000.0,6485000.0,14548000.0,,1133000.0,16624000.0,,,,,,,,,,162000.0,15000.0,147000.0,,139000.0,139000.0,78588000.0,70215000.0,5630000.0,,76572000.0,14548000.0
1027739859663,6 - 10,3956000.0,14587000.0,,,4735000.0,47409000.0,74126000.0,58397000.0,15729000.0,,14788000.0,941000.0,,1010000.0,,4283000.0,5754000.0,480000.0,99000.0,381000.0,381000.0,381000.0,,3501000.0,,3501000.0,42674000.0
1087799030923,,,2000.0,2000.0,,,2000.0,,,,,,,,,,,,,,,,,,,,,
1107799021230,,134000.0,10217000.0,10557000.0,,15000.0,10572000.0,,,,,,,,,,,,,,,,16917000.0,16599000.0,658000.0,130000.0,17387000.0,10725000.0
1027739652082,,21000.0,5000.0,37000.0,,291000.0,346000.0,3086000.0,2267000.0,,,,819000.0,,,,98000.0,98000.0,819000.0,90000.0,729000.0,,,,,,,
1167700061000,,,22000.0,17000.0,,,22000.0,,,,,,,,,,,,,,,,19000.0,31000.0,,,31000.0,22000.0
1147799018905,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027700124913,,166000.0,,-46000.0,,11000.0,166000.0,,,,,,,,,,,,,,,,,,,,,
1037739519993,,128000.0,1141000.0,,,19000.0,1270000.0,,,,,,,,,,,,,,,,12020000.0,11002000.0,798000.0,,11996000.0,1251000.0
1107799033638,,,2000.0,2000.0,,,2000.0,,,,,,,,,,,,,,,,,,,,,
1087799036126,,665728000.0,41498000.0,1352000.0,,151000.0,718592000.0,,,,,,,,,,,,,,,,2182000.0,518937000.0,12403000.0,,531340000.0,-461628000.0
1157700020345,0 - 5,,1683000.0,1683000.0,,,1683000.0,,,,,,,,,,,,,,,,1684000.0,78000.0,3000.0,,81000.0,1682000.0
1167700056270,0 - 5,,358000.0,453000.0,,,453000.0,,,,,,,,,,,,,,,,,,,,,
1067746154904,6 - 10,18395000.0,6583000.0,40647000.0,,2019000.0,43297000.0,79830000.0,35205000.0,44625000.0,30800000.0,20151000.0,-6325000.0,,,,22000.0,2223000.0,-8527000.0,,-10863000.0,9631000.0,9631000.0,8311000.0,11075000.0,5210000.0,24596000.0,4604000.0
1027700084829,0 - 5,26000.0,50000.0,,,61000.0,77000.0,,,,,,,,,,,,,,,,153000.0,23000.0,101000.0,,123000.0,50000.0
1167700074728,,,5000.0,5000.0,,,5000.0,,,,,,,,,,,5000.0,-5000.0,,-5000.0,,,,,,,
1057748732414,,,,,,,,1000.0,,1000.0,,,1000.0,,,,,1000.0,,,,,2000.0,,,,1000.0,1000.0
1177700014249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027700592138,0 - 5,98000.0,23000.0,6978000.0,,2534000.0,9568000.0,,,,,,,,,,12000.0,39000.0,-27000.0,2000.0,-29000.0,,12211000.0,12242000.0,,,12285000.0,22000.0
1057748529684,0 - 5,75222000.0,69667000.0,152399000.0,,232000.0,152630000.0,,,,,,,,,,2146000.0,130000.0,2016000.0,,2016000.0,,,,,,,
1127799009469,,455000.0,65000.0,-16388000.0,12631000.0,4278000.0,520000.0,490000.0,,490000.0,,16693000.0,-16203000.0,,,20000.0,,18000.0,-16241000.0,,-16247000.0,,,,,,,
1177700000983,,,,10000.0,,,10000.0,449000.0,,449000.0,,89000.0,360000.0,,,,,360000.0,,,,,449000.0,360000.0,89000.0,,449000.0,
1027700129918,0 - 5,193000.0,4226000.0,4137000.0,,282000.0,4419000.0,,,,,,,,,,,,,,,,220873000.0,,,208386000.0,218348000.0,4224000.0
1097799006216,,1000.0,2000.0,,,7000.0,8000.0,,,,,,,,,,,,,,,,17000.0,,29000.0,,29000.0,
1097799014411,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167700059053,,,541000.0,516000.0,,26000.0,541000.0,,,,,,,,,,,19000.0,-19000.0,,-19000.0,,,,,,,
1037739344169,0 - 5,200000.0,,,,200000.0,200000.0,,,,,,,,,,200000.0,188000.0,12000.0,12000.0,,,397000.0,369000.0,,,397000.0,
1167700058481,,95000.0,4000.0,99000.0,,,99000.0,,,,,,,,,,,,,,,,108000.0,,9000.0,,9000.0,99000.0
1137799022580,0 - 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147799008169,,55000.0,78000.0,,14000.0,119000.0,133000.0,,,,,,,,,,352000.0,352000.0,,,,,382000.0,160000.0,,,160000.0,228000.0
1107799031560,11 - 15,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057749021098,,2537000.0,1347000.0,-361000.0,2697000.0,17000.0,4477000.0,,,,,,,,,16000.0,,,-16000.0,,-15000.0,,,,,,,
1147799006321,0 - 5,56000.0,78000.0,-1025000.0,,123000.0,134000.0,,,,,,,,,,,,,,,,560000.0,,517000.0,,522000.0,62000.0
1117799005455,,,13000.0,,13000.0,,13000.0,,,,2000.0,,-2000.0,,,,,,-2000.0,,-2000.0,,,,,,,
1097799007129,,,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,-25000.0
1037739666777,,,148000.0,148000.0,,,148000.0,,,,,,,,,,,18000.0,-18000.0,,-18000.0,,,,,,,
1037739180456,,,305000.0,305000.0,,,305000.0,,,,,,,,,,,,,,,,,,,,,
1157700019124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035000021363,,,149000.0,149000.0,,,149000.0,,,,,,,,,,,,,,,,944000.0,1011000.0,355000.0,,1366000.0,150000.0
1057749577456,,,,,,10000.0,10000.0,,,,,,,,,,,,,,,,55000.0,,57000.0,,57000.0,
1157700004978,,12000.0,8000.0,119000.0,,,119000.0,,,,,,,,,,,,,,,,,,,,,20000.0
1077799021871,0 - 5,259000.0,88000.0,377000.0,,1000.0,378000.0,,,,,,,,,,,,,,,,3700000.0,2646000.0,754000.0,,3400000.0,346000.0
1037714042992,,107000.0,25000.0,35000.0,,1000.0,67000.0,,1000.0,,,,-1000.0,,,,,9000.0,-10000.0,,-10000.0,,,,,,,
1127799000515,6 - 10,81261000.0,3442000.0,82654000.0,,3180000.0,85834000.0,,,,,,,,,,,,,,,,,,,,,
1047796168056,,11000.0,,,,,11000.0,,,,,,,,,,,,,,,,,,,,,
1127799013572,0 - 5,,491000.0,496000.0,,,496000.0,,,,,,,,,,,,,,,,3226000.0,2565000.0,548000.0,85000.0,3248000.0,496000.0
1037739565786,,1034000.0,141000.0,1508000.0,,326000.0,1834000.0,,,,,,,,,,,42000.0,-42000.0,,-36000.0,,1200000.0,1573000.0,,,1573000.0,2075000.0
1057749749672,,34000.0,560000.0,1170000.0,,252000.0,1796000.0,208000.0,57000.0,151000.0,,68000.0,83000.0,,,,-3000.0,67000.0,13000.0,,,7000.0,7000.0,506000.0,,,506000.0,1170000.0
1167700057029,,,24000.0,3000.0,,,24000.0,,,,,,,,,,,,,,,,,,,,,
1027739480614,0 - 5,1672000.0,3125000.0,972603000.0,,15372000.0,987975000.0,2924000.0,3014000.0,-90000.0,,,-90000.0,,,,,143000.0,-233000.0,,-233000.0,,4154000.0,4154000.0,,,4154000.0,974355000.0
1177700008310,,,,,,,,,,,,,,,,,,,,,,,20000.0,20000.0,,,20000.0,
1057746156456,0 - 5,212000.0,85000.0,-62000.0,,583000.0,521000.0,,98000.0,,,,-98000.0,,,,22000.0,40000.0,-116000.0,,-116000.0,,,,,,,
1037700099161,0 - 5,263000.0,1642000.0,2158000.0,,56000.0,2214000.0,47000.0,47000.0,,,,,,,,240000.0,,240000.0,48000.0,192000.0,,4290000.0,1720000.0,1110000.0,119000.0,2999000.0,1956000.0
1077799005811,,,,-195000.0,,,,,,,,,,,,,,,,,,,,,,,,
1177700005856,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037702010312,,822000.0,13000.0,610000.0,,225000.0,835000.0,,,,,,,,,,,,,,,,4310000.0,4277000.0,236000.0,,4513000.0,610000.0
1067799033180,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177700020607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157700017859,,,315000.0,292000.0,,23000.0,315000.0,,,,,,,,,,,,,,,,317000.0,,,,,317000.0
1167700062100,,29791000.0,17548000.0,47340000.0,,,47340000.0,,,,,,,,,,,,,,,,61030000.0,12618000.0,1072000.0,,13690000.0,47340000.0
1107799021175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167700055808,0 - 5,20000.0,176000.0,191000.0,,5000.0,196000.0,512000.0,482000.0,30000.0,,,30000.0,,,,,,30000.0,5000.0,25000.0,25000.0,275000.0,23000.0,88000.0,,111000.0,190000.0
1037789076490,11 - 15,5177000.0,7459000.0,14494000.0,,293000.0,14788000.0,39374000.0,,39374000.0,,29383000.0,9991000.0,,,,186000.0,147000.0,10030000.0,,8857000.0,8857000.0,13640000.0,2568000.0,,245000.0,2813000.0,12412000.0
1037701912720,0 - 5,259000.0,73000.0,287000.0,,45000.0,332000.0,,,,,,,,,,,,,,,,13220000.0,12422000.0,554000.0,,12976000.0,287000.0
1047796248610,,,,,,,,,,,,,,,,,,,,,,,2012000.0,2000000.0,,,2012000.0,
1037739745581,,,57000.0,,,57000.0,57000.0,899000.0,609000.0,290000.0,,,290000.0,,,,,18000.0,272000.0,55000.0,217000.0,,305000.0,84000.0,370000.0,,454000.0,
1067799022840,0 - 5,128000.0,,,,,128000.0,,,,,,,,,,,,,,,,1782000.0,694000.0,359000.0,,1655000.0,128000.0
1027739790836,,,24000.0,-119000.0,65000.0,78000.0,24000.0,3224000.0,3351000.0,-127000.0,,,-127000.0,,,,,,-127000.0,,-127000.0,,500000.0,500000.0,,,500000.0,
1107799017864,,1647000.0,1603000.0,,,388000.0,3298000.0,,,,,,,,,,,,,,,,,,,,,
1027700477749,,105000.0,899000.0,6467000.0,,71000.0,6538000.0,,,,,,,,,,,,,,,,2269000.0,1642000.0,,,1642000.0,932000.0
1087799031650,,,2402000.0,2402000.0,,,2402000.0,,,,,,,,,,,,,,,,3100000.0,1000000.0,210000.0,,1210000.0,2402000.0
1177700013798,,,73000.0,40000.0,,34000.0,73000.0,,,,,,,,,,,,,,,,143000.0,43000.0,60000.0,,103000.0,40000.0
1117799008678,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087799035796,0 - 5,233000.0,10853000.0,112667000.0,,288000.0,114132000.0,,,,,,,,11749000.0,,,2330000.0,9419000.0,2123000.0,7509000.0,7510000.0,144895000.0,153402000.0,24730000.0,49000.0,178280000.0,110892000.0
1087799008439,,557903000.0,21279000.0,1117162000.0,,136582000.0,1253744000.0,440199000.0,462727000.0,-22528000.0,,,-22528000.0,,35596000.0,,2194000.0,9892000.0,5370000.0,1133000.0,4237000.0,4237000.0,4237000.0,151332000.0,44050000.0,28845000.0,1131460000.0,1053023000.0
1127799010690,0 - 5,69000.0,171000.0,-117000.0,,1034000.0,917000.0,660000.0,595000.0,65000.0,,,65000.0,,,,,,65000.0,,54000.0,54000.0,45304000.0,42734000.0,534000.0,677000.0,46293000.0,-794000.0
1027700101153,,98000.0,,-736000.0,1744000.0,36000.0,1052000.0,,,,,,,,,,,26000.0,-26000.0,,-26000.0,,,,,,,
1067799028241,,,5000.0,4000.0,,,26000.0,,,,,,,,,,,,,,,,26000.0,15000.0,,,22000.0,4000.0
1147799013636,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157700012612,,454000.0,65886000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1157700003702,,83000.0,1649000.0,,751000.0,122000.0,1813000.0,,,,,,,,,,,,,24000.0,-24000.0,,7235000.0,6550000.0,1020000.0,,7570000.0,940000.0
1057601585030,0 - 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047796457873,,,1373000.0,1403000.0,,452000.0,1855000.0,,,,,,,,,,,,,,,,16890000.0,16272000.0,,,16272000.0,1403000.0
1117799012319,6 - 10,490000.0,3986000.0,3679000.0,,627000.0,4499000.0,,,,,,,,,,,,,,,11000.0,9916000.0,9071000.0,5453000.0,,14554000.0,3659000.0
1057746008704,0 - 5,339000.0,939000.0,27771000.0,,,27771000.0,,,,,,,,,,855000.0,339000.0,516000.0,,516000.0,,30155000.0,32823000.0,2027000.0,136000.0,35079000.0,21428000.0
1037709019127,,,5579000.0,5579000.0,,,5579000.0,,,,,,,,,,,,,,,,,,,,,
1027739327208,0 - 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
