Наименование,Регистрационный номер,Год_регистрации,Статус,Регион регистрации,Код ОКАТО,Наименование ОКАТО,Код ОКТМО,Организационно-правовая форма,Код ОКОПФ,"2018, Среднесписочная численность работников","2018, Дебиторская задолженность, RUB","2018, Денежные средства и денежные эквиваленты, RUB","2018, Капитал и резервы, RUB","2018, Заёмные средства (краткосрочные), RUB","2018, Кредиторская задолженность, RUB","2018, Пассивы всего, RUB","2018, Выручка, RUB","2018, Себестоимость продаж, RUB","2018, Валовая прибыль (убыток), RUB","2018, Коммерческие расходы, RUB","2018, Управленческие расходы, RUB","2018, Прибыль (убыток) от продажи, RUB","2018, Доходы от участия в других организациях, RUB","2018, Проценты к получению, RUB","2018, Проценты к уплате, RUB","2018, Прочие доходы, RUB","2018, Прочие расходы, RUB","2018, Прибыль (убыток) до налогообложения , RUB","2018, Текущий налог на прибыль, RUB","2018, Чистая прибыль (убыток), RUB","2018, Прибыль от приносящей доход деятельности, RUB","2018, Всего поступило средств, RUB","2018, Расходы на целевые мероприятия, RUB","2018, Расходы на содержание аппарата управления, RUB","2018, Приобретение основных средств, инвентаря и иного имущества, RUB","2018, Всего использовано средств, RUB","2018, Остаток средств на конец отчетного года, RUB"
"12, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1157700001140,2015,Действующая,Москва,45277598000,"Москва, Северный, Хорошевский",45348000000.0,Благотворительные фонды,70401,,10000.0,193000.0,203000.0,,,203000.0,,,,,,,,,,40000.0,186000.0,-146000.0,,-148000.0,,37514000.0,37200000.0,396000.0,,37596000.0,182000.0
"1ПОМОГАЕТ, БФ",1167700056347,2016,Действующая,Москва,45263552000,"Москва, Восточный, Богородское",45301000000.0,Благотворительные фонды,70401,,15000.0,1154000.0,1219000.0,,20000.0,1239000.0,,,,,,,,,,,,,,,,3635000.0,2267000.0,243000.0,,2559000.0,1208000.0
"5541 ДОБРО, БФ",1147799011612,2014,Действующая,Москва,45277589000,"Москва, Северный, Сокол",45345000000.0,Благотворительные фонды,70401,51 - 100,64000.0,20352000.0,20352000.0,,58000.0,20458000.0,,,,,,,,,,,,,,,,248596000.0,350954000.0,57590000.0,,408668000.0,20352000.0
"7 ЖИЗНЕЙ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1157700001689,2015,Действующая,Москва,45286585000,"Москва, Центральный, Тверской",45382000000.0,Благотворительные фонды,70401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XXI ВЕК БЕЗ РАКА, БФ",1097799042857,2009,Действующая,Москва,45268584000,"Москва, Западный, Раменки",45325000000.0,Благотворительные фонды,70401,,,38000.0,38000.0,,,38000.0,,24000.0,,,,-24000.0,,,,,12000.0,-36000.0,,-36000.0,,,,,,,
"А.УСМАНОВА, ФОНД",1027729004269,2002,Действующая,Москва,45268592000,"Москва, Западный, Тропарево-Никулино",45327000000.0,Благотворительные фонды,70401,,963000.0,3882000.0,4858000.0,,,4858000.0,,,,,,,,,,,,,,,,,,,,,
"А.Ф. РОМАНОВОЙ, БФ ИМ.",1117799005235,2011,Действующая,Москва,45286555000,"Москва, Центральный, Басманный",45375000000.0,Благотворительные фонды,70401,,166000.0,523000.0,689000.0,,,689000.0,,,,,,,,,,,,,,,,918000.0,967000.0,43000.0,,1010000.0,689000.0
"АБС ЭЛЕКТРО, БФ",1037739325557,2002,Действующая,Москва,45286580000,"Москва, Центральный, Таганский",45381000000.0,Благотворительные фонды,70401,,149000.0,561000.0,15000.0,,173000.0,710000.0,,,,,,,,,,,34000.0,-34000.0,,-34000.0,,,,,,,
"АВИАЦИОННО-КОСМИЧЕСКИЙ ФОНД, МОФ",1037746023061,2003,Действующая,Москва,45286570000,"Москва, Центральный, Мещанский",45379000000.0,Общественные фонды,70403,,394000.0,18000.0,-119000.0,1000.0,76000.0,412000.0,,15000.0,,,,-15000.0,,,,69000.0,213000.0,-159000.0,1000.0,-160000.0,,,,,,,
"АВРОРА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1097799012805,2009,Действующая,Москва,45286560000,"Москва, Центральный, Замоскворечье",45376000000.0,Благотворительные фонды,70401,,,,-14000.0,,14000.0,,,26000.0,,,,,,,,,,,,-26000.0,,,,,,,
